Contig	Window	GC	Depth	NumMasked	RESites
chr1	3050000-3100000	40.12	203.33	1761	210
chr1	3100000-3150000	39.62	215.49	13594	198
chr1	3150000-3200000	38.53	236.97	4952	187
chr1	3200000-3250000	39.06	173.48	8407	206
chr1	3250000-3300000	40.48	144.12	9865	208
chr1	3300000-3350000	39.66	223.37	6503	168
chr1	3350000-3400000	40.39	197.99	6738	155
chr1	3400000-3450000	40.67	225.22	7737	197
chr1	3450000-3500000	39.85	235.75	5482	174
chr1	3500000-3550000	40.69	237.92	3646	218
chr1	3550000-3600000	40.25	258.77	5567	226
chr1	3600000-3650000	40.49	248.76	11725	180
chr1	3650000-3700000	39.93	227.05	7700	219
chr1	3700000-3750000	41.05	186.90	9044	160
chr1	3750000-3800000	40.85	218.27	5121	188
chr1	3800000-3850000	41.01	245.16	6414	184
chr1	3850000-3900000	40.35	229.51	11200	224
chr1	3900000-3950000	40.49	165.31	5955	217
chr1	3950000-4000000	39.58	228.99	9511	150
chr1	4000000-4050000	41.18	250.33	5558	237
chr1	4050000-4100000	41.39	203.03	8587	193
chr1	4100000-4150000	39.89	234.32	6689	190
chr1	4150000-4200000	44.93	204.35	1941	217
chr1	4200000-4250000	40.94	238.84	5808	203
chr1	4250000-4300000	40.59	200.98	11110	244
chr1	4300000-4350000	40.43	229.16	7752	203
chr1	4350000-4400000	38.30	226.76	8177	166
chr1	4400000-4450000	39.46	230.17	11094	182
chr1	4450000-4500000	41.46	176.41	10618	200
chr1	4500000-4550000	39.08	222.45	8445	179
chr1	4550000-4600000	40.08	240.45	6753	195
chr1	4600000-4650000	39.71	177.98	5456	209
chr1	4650000-4700000	39.29	167.64	12854	203
chr1	4700000-4750000	40.66	242.77	8924	228
chr1	4750000-4800000	41.09	253.03	6668	202
chr1	4800000-4850000	39.73	225.68	5996	187
chr1	4850000-4900000	37.42	220.13	9068	170
chr1	4900000-4950000	39.06	219.12	12224	171
chr1	4950000-5000000	39.57	217.06	6785	173
chr1	5000000-5050000	40.11	160.79	3555	201
chr1	5050000-5100000	40.15	218.86	17463	212
chr1	5100000-5150000	41.51	182.31	6616	249
chr1	5150000-5200000	42.39	204.52	13589	214
chr1	5200000-5250000	41.87	245.49	11014	223
chr1	5250000-5300000	42.78	268.09	5209	223
chr1	5300000-5350000	42.39	291.40	9615	227
chr1	5350000-5400000	40.41	224.54	6357	200
chr1	5400000-5450000	40.14	230.98	6139	199
chr1	5450000-5500000	43.77	166.98	1857	218
chr1	5500000-5550000	41.88	255.11	5837	200
chr1	5550000-5600000	40.64	258.36	11487	215
chr1	5600000-5650000	40.90	235.55	6739	208
chr1	5650000-5700000	41.83	217.27	9200	208
chr1	5700000-5750000	43.30	234.99	3407	254
chr1	5750000-5800000	40.08	205.14	10384	178
chr1	5800000-5850000	41.77	255.12	10024	224
chr1	5850000-5900000	40.84	211.43	9278	200
chr1	5900000-5950000	40.18	167.58	27222	221
chr1	5950000-6000000	40.65	241.59	14404	214
chr1	6000000-6050000	39.34	230.63	10907	178
chr1	6050000-6100000	45.17	268.69	11790	217
chr1	6100000-6150000	41.19	227.11	13398	171
chr1	6150000-6200000	40.42	221.84	11192	176
chr1	6200000-6250000	40.96	201.23	24697	231
chr1	6250000-6300000	40.36	211.59	9770	214
chr1	6300000-6350000	41.44	226.55	6509	202
chr1	6350000-6400000	40.77	239.60	5948	180
chr1	6400000-6450000	41.08	192.33	5721	181
chr1	6450000-6500000	40.64	201.87	5221	190
chr1	6500000-6550000	40.21	198.93	12371	194
chr1	6550000-6600000	40.13	220.58	6564	215
chr1	6600000-6650000	41.14	260.16	3572	224
chr1	6650000-6700000	40.53	260.57	7974	169
chr1	6700000-6750000	40.11	239.83	8784	219
chr1	6750000-6800000	39.77	226.96	4504	206
chr1	6800000-6850000	43.47	276.28	1391	212
chr1	6850000-6900000	40.02	241.40	4420	194
chr1	6900000-6950000	41.70	255.07	4970	197
chr1	6950000-7000000	41.44	247.72	1713	210
chr1	7000000-7050000	40.97	219.88	6583	182
chr1	7050000-7100000	38.70	256.42	3216	178
chr1	7100000-7150000	40.64	253.89	3013	224
chr1	7150000-7200000	40.16	254.63	3384	206
chr1	7200000-7250000	41.01	244.48	9869	197
chr1	7250000-7300000	39.75	228.41	8702	196
chr1	7300000-7350000	40.61	240.42	5197	155
chr1	7350000-7400000	41.66	263.11	5979	214
chr1	7400000-7450000	41.40	245.73	6559	158
chr1	7450000-7500000	41.26	257.97	3112	197
chr1	7500000-7550000	41.11	265.73	801	232
chr1	7550000-7600000	39.88	232.79	4730	212
chr1	7600000-7650000	41.83	265.01	1804	230
chr1	7650000-7700000	39.93	254.74	1524	217
chr1	7700000-7750000	39.97	236.35	1473	197
chr1	7750000-7800000	38.43	228.25	6669	166
chr1	7800000-7850000	41.64	257.76	3639	237
chr1	7850000-7900000	41.77	250.14	2230	258
chr1	7900000-7950000	39.69	234.67	5496	167
chr1	7950000-8000000	39.75	231.81	15833	190
chr1	8000000-8050000	40.82	262.12	2372	173
chr1	8050000-8100000	41.92	267.93	740	215
chr1	8100000-8150000	40.49	278.70	2922	239
chr1	8150000-8200000	42.55	271.45	417	220
chr1	8200000-8250000	41.24	250.23	7599	220
chr1	8250000-8300000	42.10	269.32	1645	219
chr1	8300000-8350000	40.74	268.83	1654	223
chr1	8350000-8400000	41.54	248.51	1334	218
chr1	8400000-8450000	43.15	231.59	888	194
chr1	8450000-8500000	41.92	233.51	5477	233
chr1	8500000-8550000	42.26	248.49	4658	207
chr1	8550000-8600000	40.10	247.34	3911	179
chr1	8600000-8650000	41.11	261.33	1103	220
chr1	8650000-8700000	41.26	256.33	1788	241
chr1	8700000-8750000	41.49	264.20	292	219
chr1	8750000-8800000	40.81	262.22	1453	227
chr1	8800000-8850000	41.20	277.75	579	211
chr1	8850000-8900000	41.98	259.02	2238	214
chr1	8900000-8950000	40.39	272.16	6026	194
chr1	8950000-9000000	41.64	241.54	2017	214
chr1	9000000-9050000	41.72	269.67	1711	226
chr1	9050000-9100000	40.13	243.75	1881	201
chr1	9100000-9150000	39.74	219.80	4715	210
chr1	9150000-9200000	41.08	255.29	6611	175
chr1	9200000-9250000	38.33	215.00	6915	171
chr1	9250000-9300000	39.30	243.95	3646	190
chr1	9300000-9350000	42.71	272.24	6729	233
chr1	9350000-9400000	41.65	270.77	4611	193
chr1	9400000-9450000	42.31	277.70	2597	231
chr1	9450000-9500000	41.93	274.44	5475	236
chr1	9500000-9550000	41.51	271.70	1933	244
chr1	9550000-9600000	40.48	241.85	1837	191
chr1	9600000-9650000	39.36	200.34	4288	176
chr1	9650000-9700000	41.48	248.21	9193	223
chr1	9700000-9750000	41.51	242.95	2727	194
chr1	9750000-9800000	40.17	241.01	6628	204
chr1	9800000-9850000	42.31	277.94	7279	203
chr1	9850000-9900000	39.47	232.87	2909	144
chr1	9900000-9950000	40.89	267.08	3495	242
chr1	9950000-10000000	41.34	263.13	1687	208
chr1	10000000-10050000	41.12	267.90	3365	225
chr1	10050000-10100000	41.21	248.47	3963	226
chr1	10100000-10150000	42.22	224.76	298	222
chr1	10150000-10200000	42.89	120.92	10501	222
chr1	10200000-10250000	41.83	254.32	8998	222
chr1	10250000-10300000	42.63	248.08	5052	211
chr1	10300000-10350000	40.38	255.54	1220	204
chr1	10350000-10400000	40.17	261.23	4631	190
chr1	10400000-10450000	40.63	272.17	1912	213
chr1	10450000-10500000	40.49	266.26	4746	196
chr1	10500000-10550000	41.66	272.59	6534	220
chr1	10550000-10600000	42.13	276.40	5085	211
chr1	10600000-10650000	41.31	270.88	2197	193
chr1	10650000-10700000	40.42	257.31	3585	178
chr1	10700000-10750000	41.97	268.55	9016	213
chr1	10750000-10800000	40.84	272.00	3772	203
chr1	10800000-10850000	41.65	271.23	7472	221
chr1	10850000-10900000	41.39	276.11	915	197
chr1	10900000-10950000	40.74	259.10	1691	192
chr1	10950000-11000000	40.37	262.74	3199	270
chr1	11000000-11050000	40.17	263.53	3610	209
chr1	11050000-11100000	40.79	299.09	4348	229
chr1	11100000-11150000	40.99	262.07	1982	237
chr1	11150000-11200000	42.05	271.71	1691	226
chr1	11200000-11250000	40.63	246.88	6146	233
chr1	11250000-11300000	41.45	269.47	4114	228
chr1	11300000-11350000	41.10	280.40	1166	230
chr1	11350000-11400000	42.59	271.54	1325	225
chr1	11400000-11450000	40.08	263.37	499	209
chr1	11450000-11500000	40.02	261.60	3229	194
chr1	11500000-11550000	40.75	260.31	2149	220
chr1	11550000-11600000	40.13	269.45	3431	173
chr1	11600000-11650000	39.79	259.53	3887	205
chr1	11650000-11700000	41.87	265.77	1124	216
chr1	11700000-11750000	41.89	287.28	975	237
chr1	11750000-11800000	41.47	268.13	4150	210
chr1	11800000-11850000	41.21	289.58	5826	226
chr1	11850000-11900000	41.98	305.48	9524	202
chr1	11900000-11950000	41.98	309.40	2685	223
chr1	11950000-12000000	40.29	269.86	1392	231
chr1	12000000-12050000	42.27	272.88	11124	229
chr1	12050000-12100000	42.21	285.91	1782	207
chr1	12100000-12150000	41.65	294.27	9468	223
chr1	12150000-12200000	41.61	274.37	1892	215
chr1	12200000-12250000	41.26	280.89	4566	199
chr1	12250000-12300000	40.60	269.90	1717	232
chr1	12300000-12350000	42.29	285.21	711	229
chr1	12350000-12400000	40.85	267.74	2147	225
chr1	12400000-12450000	42.66	288.80	1796	229
chr1	12450000-12500000	41.73	276.05	3749	231
chr1	12500000-12550000	41.75	294.38	4908	234
chr1	12550000-12600000	40.71	272.85	6957	230
chr1	12600000-12650000	41.45	285.53	5108	205
chr1	12650000-12700000	42.40	265.75	1286	236
chr1	12700000-12750000	42.29	290.89	4858	229
chr1	12750000-12800000	43.22	297.35	4514	226
chr1	12800000-12850000	41.41	280.63	4139	212
chr1	12850000-12900000	43.04	301.74	6015	225
chr1	12900000-12950000	42.31	292.67	2409	269
chr1	12950000-13000000	39.67	259.22	4656	190
chr1	13000000-13050000	41.39	263.19	4973	160
chr1	13050000-13100000	40.81	269.93	2902	182
chr1	13100000-13150000	41.94	290.08	8952	158
chr1	13150000-13200000	39.97	257.15	10730	174
chr1	13200000-13250000	41.31	281.82	3220	183
chr1	13250000-13300000	41.13	281.89	4907	219
chr1	13300000-13350000	42.49	283.51	6866	209
chr1	13350000-13400000	41.59	289.56	8430	211
chr1	13400000-13450000	40.97	276.40	1863	207
chr1	13450000-13500000	40.87	261.24	3452	210
chr1	13500000-13550000	40.53	280.34	7738	209
chr1	13550000-13600000	41.59	269.23	18793	217
chr1	13600000-13650000	39.95	257.71	4196	176
chr1	13650000-13700000	39.63	265.16	9750	205
chr1	13700000-13750000	42.69	292.26	5227	191
chr1	13750000-13800000	41.14	272.91	4035	204
chr1	13800000-13850000	38.49	258.76	16128	183
chr1	13850000-13900000	39.92	229.65	5141	149
chr1	13900000-13950000	39.29	244.77	4387	183
chr1	13950000-14000000	39.76	192.44	8222	147
chr1	14000000-14050000	41.20	226.31	17854	206
chr1	14050000-14100000	42.61	230.80	1962	205
chr1	14100000-14150000	42.47	226.74	1287	207
chr1	14150000-14200000	42.72	244.36	1428	194
chr1	14200000-14250000	42.77	262.90	4739	210
chr1	14250000-14300000	39.99	248.65	7070	187
chr1	14300000-14350000	41.08	245.20	4958	180
chr1	14350000-14400000	40.46	237.01	2723	179
chr1	14400000-14450000	40.92	221.88	7137	189
chr1	14450000-14500000	42.59	308.09	4105	246
chr1	14500000-14533022	40.41	205.22	3247	93
chr2	0-50000	38.03	237.21	41870	152
chr2	50000-100000	36.38	174.50	39685	148
chr2	100000-150000	37.11	258.02	27809	136
chr2	150000-200000	38.27	247.18	12364	168
chr2	200000-250000	36.33	237.80	19091	160
chr2	250000-300000	38.96	257.90	15420	204
chr2	300000-350000	39.92	244.66	8161	189
chr2	350000-400000	42.27	195.36	6817	177
chr2	400000-450000	40.92	247.91	7501	228
chr2	450000-500000	40.19	253.14	6286	225
chr2	500000-550000	41.02	204.78	13850	208
chr2	550000-600000	37.89	203.51	10454	179
chr2	600000-650000	37.35	211.11	15824	128
chr2	650000-700000	39.21	223.40	19387	219
chr2	700000-750000	40.04	250.83	4583	201
chr2	750000-800000	40.07	216.30	5532	210
chr2	800000-850000	37.81	216.20	18811	155
chr2	850000-900000	38.26	251.35	11391	166
chr2	900000-950000	38.34	241.18	19870	187
chr2	950000-1000000	39.21	251.49	7719	170
chr2	1000000-1050000	38.60	251.07	8002	164
chr2	1050000-1100000	41.53	261.58	4019	216
chr2	1100000-1150000	39.34	252.51	2726	221
chr2	1150000-1200000	41.35	301.34	9056	187
chr2	1200000-1250000	39.00	249.95	4856	154
chr2	1250000-1300000	39.64	265.48	7851	188
chr2	1300000-1350000	36.75	244.06	12981	168
chr2	1350000-1400000	41.16	264.23	6517	234
chr2	1400000-1450000	39.88	260.40	5477	178
chr2	1450000-1500000	41.32	285.20	14774	195
chr2	1500000-1550000	40.80	274.22	4547	226
chr2	1550000-1600000	39.41	277.51	11394	204
chr2	1600000-1650000	39.63	261.62	7866	202
chr2	1650000-1700000	39.65	273.59	6286	184
chr2	1700000-1750000	40.95	282.63	2652	192
chr2	1750000-1800000	42.28	293.72	16080	196
chr2	1800000-1850000	38.64	244.90	2476	189
chr2	1850000-1900000	39.59	313.67	14516	218
chr2	1900000-1950000	39.65	265.54	3402	180
chr2	1950000-2000000	39.55	258.33	6060	179
chr2	2000000-2050000	39.64	250.75	1305	232
chr2	2050000-2100000	40.54	271.59	7721	180
chr2	2100000-2150000	41.69	260.82	3724	158
chr2	2150000-2200000	39.51	267.67	1815	204
chr2	2200000-2250000	41.84	232.93	16062	179
chr2	2250000-2300000	38.99	249.16	7057	177
chr2	2300000-2350000	40.41	271.55	4671	193
chr2	2350000-2400000	39.88	274.54	4920	151
chr2	2400000-2450000	40.30	263.51	2854	209
chr2	2450000-2500000	41.06	260.34	3644	207
chr2	2500000-2550000	39.63	248.48	8836	161
chr2	2550000-2600000	37.76	244.63	4235	200
chr2	2600000-2650000	40.70	270.59	3866	190
chr2	2650000-2700000	40.53	267.82	1813	190
chr2	2700000-2750000	38.34	258.32	3075	212
chr2	2750000-2800000	41.68	295.29	7029	196
chr2	2800000-2850000	41.26	276.07	7809	248
chr2	2850000-2900000	41.23	271.14	2905	257
chr2	2900000-2950000	39.78	256.29	4120	177
chr2	2950000-3000000	39.45	255.50	5189	197
chr2	3000000-3050000	38.80	273.12	3011	203
chr2	3050000-3100000	40.11	274.30	6197	192
chr2	3100000-3150000	42.36	290.42	6235	240
chr2	3150000-3200000	42.30	288.85	3606	214
chr2	3200000-3250000	40.96	270.35	8321	194
chr2	3250000-3300000	39.57	272.16	3850	202
chr2	3300000-3350000	39.50	256.27	4394	188
chr2	3350000-3400000	39.15	234.86	7318	180
chr2	3400000-3450000	40.29	184.29	2942	203
chr2	3450000-3500000	38.85	248.44	2522	189
chr2	3500000-3550000	40.46	249.17	3909	187
chr2	3550000-3600000	38.95	239.52	3672	169
chr2	3600000-3650000	38.57	233.40	10657	154
chr2	3650000-3700000	38.68	226.89	9172	176
chr2	3700000-3750000	42.79	222.46	395	208
chr2	3750000-3800000	39.57	254.93	2390	212
chr2	3800000-3850000	40.49	262.68	1783	242
chr2	3850000-3900000	39.97	240.91	2787	220
chr2	3900000-3950000	39.48	245.26	11587	202
chr2	3950000-4000000	39.81	246.51	4615	226
chr2	4000000-4050000	38.96	231.67	4718	195
chr2	4050000-4100000	40.78	235.33	5741	180
chr2	4100000-4150000	39.95	222.82	6566	200
chr2	4150000-4200000	40.33	242.75	8046	181
chr2	4200000-4250000	40.30	255.58	8043	214
chr2	4250000-4300000	38.37	238.23	4057	176
chr2	4300000-4350000	40.20	202.19	6332	196
chr2	4350000-4400000	39.96	234.21	6506	212
chr2	4400000-4450000	40.56	243.97	3582	210
chr2	4450000-4500000	41.13	268.93	4547	219
chr2	4500000-4550000	40.53	255.94	4168	210
chr2	4550000-4600000	39.64	231.00	7815	211
chr2	4600000-4650000	38.61	128.29	6065	179
chr2	4650000-4700000	39.62	171.03	6293	194
chr2	4700000-4750000	41.27	286.29	6341	224
chr2	4750000-4800000	39.36	280.56	5763	191
chr2	4800000-4850000	42.29	244.92	10745	240
chr2	4850000-4900000	39.96	259.74	8967	192
chr2	4900000-4950000	39.16	279.24	10520	205
chr2	4950000-5000000	39.42	255.50	9650	203
chr2	5000000-5050000	39.02	256.91	7989	177
chr2	5050000-5100000	38.93	258.99	6148	190
chr2	5100000-5150000	40.12	260.47	6011	167
chr2	5150000-5200000	39.81	251.86	7783	144
chr2	5200000-5250000	41.59	272.65	7502	177
chr2	5250000-5300000	39.33	256.42	10497	194
chr2	5300000-5350000	40.21	273.12	8853	197
chr2	5350000-5400000	41.25	281.25	7801	200
chr2	5400000-5450000	38.34	253.97	4940	222
chr2	5450000-5500000	40.55	247.00	6507	193
chr2	5500000-5550000	39.50	265.55	7466	190
chr2	5550000-5600000	40.22	278.03	5044	200
chr2	5600000-5650000	42.55	262.52	4698	196
chr2	5650000-5700000	43.44	234.88	10686	217
chr2	5700000-5750000	42.45	195.42	9593	131
chr2	5750000-5800000	43.03	279.28	6309	210
chr2	5800000-5850000	42.26	272.10	4278	203
chr2	5850000-5900000	42.94	280.86	2886	218
chr2	5900000-5950000	43.36	273.45	2472	238
chr2	5950000-6000000	43.68	275.58	8198	216
chr2	6000000-6050000	39.62	247.49	8500	156
chr2	6050000-6100000	42.07	208.47	8475	202
chr2	6100000-6150000	41.47	241.12	1200	260
chr2	6150000-6200000	42.23	264.61	5991	207
chr2	6200000-6250000	42.63	275.48	2839	216
chr2	6250000-6300000	42.66	266.07	4678	251
chr2	6300000-6350000	41.93	266.36	2964	205
chr2	6350000-6400000	41.60	271.73	4718	198
chr2	6400000-6450000	42.69	281.52	2758	252
chr2	6450000-6500000	43.71	292.29	3600	253
chr2	6500000-6550000	41.05	272.32	9490	184
chr2	6550000-6600000	42.12	262.69	11909	215
chr2	6600000-6650000	41.31	268.91	10287	224
chr2	6650000-6700000	41.60	283.99	3397	214
chr2	6700000-6750000	42.96	269.54	3200	202
chr2	6750000-6800000	42.23	264.02	13918	175
chr2	6800000-6850000	42.36	275.33	5088	192
chr2	6850000-6900000	41.39	252.86	9126	181
chr2	6900000-6950000	41.00	258.01	3591	213
chr2	6950000-7000000	41.48	215.16	10406	181
chr2	7000000-7050000	42.12	182.95	6717	176
chr2	7050000-7100000	40.53	251.28	5649	173
chr2	7100000-7150000	42.14	255.98	6161	240
chr2	7150000-7200000	41.44	265.46	3775	214
chr2	7200000-7250000	42.14	280.97	3031	226
chr2	7250000-7300000	40.98	254.08	1178	223
chr2	7300000-7350000	40.10	254.64	10064	181
chr2	7350000-7400000	42.58	256.35	8180	222
chr2	7400000-7450000	42.56	270.99	369	244
chr2	7450000-7500000	41.62	244.27	8759	181
chr2	7500000-7550000	42.83	264.12	2360	256
chr2	7550000-7600000	39.84	241.64	6469	201
chr2	7600000-7650000	45.07	299.55	10048	196
chr2	7650000-7700000	43.48	297.41	2822	254
chr2	7700000-7750000	42.13	261.47	2133	198
chr2	7750000-7800000	41.30	244.74	5394	198
chr2	7800000-7850000	41.63	283.91	15093	202
chr2	7850000-7900000	41.86	266.39	1635	235
chr2	7900000-7950000	41.33	165.15	1375	198
chr2	7950000-8000000	41.92	267.53	484	246
chr2	8000000-8050000	42.59	270.19	6680	237
chr2	8050000-8100000	41.90	270.02	3164	232
chr2	8100000-8150000	41.09	235.24	8641	172
chr2	8150000-8200000	38.90	243.59	1705	160
chr2	8200000-8250000	40.95	277.91	2359	224
chr2	8250000-8300000	43.57	265.38	6559	245
chr2	8300000-8350000	41.10	267.39	3218	195
chr2	8350000-8400000	40.13	227.97	3855	164
chr2	8400000-8450000	39.93	243.47	3367	191
chr2	8450000-8500000	42.10	251.10	5724	206
chr2	8500000-8550000	40.80	265.93	2869	190
chr2	8550000-8600000	42.71	212.09	15508	200
chr2	8600000-8650000	40.93	255.10	8999	209
chr2	8650000-8700000	42.07	268.55	1557	236
chr2	8700000-8750000	40.71	245.82	8922	198
chr2	8750000-8800000	40.89	245.90	1911	238
chr2	8800000-8850000	41.64	244.79	4158	200
chr2	8850000-8900000	42.55	283.48	5941	219
chr2	8900000-8950000	42.93	225.07	2462	212
chr2	8950000-9000000	41.17	267.01	2117	211
chr2	9000000-9050000	43.39	247.60	2031	232
chr2	9050000-9100000	41.23	259.29	3799	215
chr2	9100000-9150000	40.63	260.08	2122	206
chr2	9150000-9200000	40.91	260.49	6302	197
chr2	9200000-9250000	41.86	249.51	8902	193
chr2	9250000-9300000	42.17	253.76	6589	219
chr2	9300000-9350000	42.52	280.59	116	241
chr2	9350000-9400000	40.92	242.91	3546	186
chr2	9400000-9450000	41.20	282.80	1892	214
chr2	9450000-9500000	40.78	268.53	1690	245
chr2	9500000-9550000	38.52	251.40	4493	153
chr2	9550000-9600000	40.77	231.38	4018	205
chr2	9600000-9650000	41.40	243.79	10236	159
chr2	9650000-9700000	42.08	269.10	5402	232
chr2	9700000-9750000	40.97	253.85	4111	200
chr2	9750000-9800000	40.70	259.50	1960	210
chr2	9800000-9850000	41.89	278.38	2018	222
chr2	9850000-9900000	42.59	252.90	11445	182
chr2	9900000-9950000	38.99	267.12	5593	198
chr2	9950000-10000000	41.46	262.31	3050	216
chr2	10000000-10050000	40.56	271.24	1593	198
chr2	10050000-10100000	41.86	266.25	705	248
chr2	10100000-10150000	42.28	229.18	10021	204
chr2	10150000-10200000	39.95	251.96	2248	173
chr2	10200000-10250000	40.88	243.76	1283	192
chr2	10250000-10300000	41.81	258.46	1352	227
chr2	10300000-10350000	40.73	266.60	7415	208
chr2	10350000-10400000	41.35	140.59	1513	242
chr2	10400000-10450000	42.81	149.64	7890	242
chr2	10450000-10500000	40.74	182.46	5733	208
chr2	10500000-10550000	41.26	133.02	2350	258
chr2	10550000-10600000	40.27	172.58	1965	207
chr2	10600000-10650000	39.63	185.53	890	209
chr2	10650000-10700000	41.35	246.18	2330	194
chr2	10700000-10750000	41.45	253.02	2356	202
chr2	10750000-10800000	42.51	253.41	4003	239
chr2	10800000-10850000	41.04	254.82	4587	231
chr2	10850000-10900000	41.42	269.68	1584	235
chr2	10900000-10950000	41.06	263.91	938	188
chr2	10950000-11000000	41.39	267.78	2789	214
chr2	11000000-11050000	39.81	257.38	5076	175
chr2	11050000-11100000	41.53	261.81	1407	209
chr2	11100000-11150000	40.76	262.56	1035	212
chr2	11150000-11200000	41.01	263.11	1322	233
chr2	11200000-11250000	40.80	167.68	731	191
chr2	11250000-11300000	40.58	235.14	1107	192
chr2	11300000-11350000	42.26	249.33	8444	199
chr2	11350000-11400000	44.08	245.95	13489	231
chr2	11400000-11450000	40.62	272.16	2700	217
chr2	11450000-11500000	41.00	269.10	1165	216
chr2	11500000-11550000	42.18	249.11	8232	189
chr2	11550000-11600000	40.94	287.18	2392	224
chr2	11600000-11650000	40.84	270.30	2257	203
chr2	11650000-11700000	40.89	281.06	5818	244
chr2	11700000-11750000	42.44	276.17	2435	256
chr2	11750000-11800000	41.40	270.53	5342	192
chr2	11800000-11850000	42.05	272.63	4053	194
chr2	11850000-11900000	42.37	283.96	3188	275
chr2	11900000-11950000	40.89	275.34	2730	213
chr2	11950000-12000000	42.36	287.47	3186	217
chr2	12000000-12050000	41.24	275.18	1213	208
chr2	12050000-12100000	42.55	269.44	885	223
chr2	12100000-12150000	38.95	240.87	3752	155
chr2	12150000-12200000	40.70	213.74	5868	171
chr2	12200000-12250000	40.59	262.23	3162	218
chr2	12250000-12300000	40.42	153.52	3153	187
chr2	12300000-12350000	40.46	136.91	4121	214
chr2	12350000-12400000	40.31	225.96	2558	204
chr2	12400000-12450000	41.45	275.26	858	254
chr2	12450000-12500000	42.24	190.41	2051	194
chr2	12500000-12550000	41.63	142.32	2379	220
chr2	12550000-12600000	39.82	239.31	5544	180
chr2	12600000-12650000	40.35	256.44	3470	180
chr2	12650000-12700000	41.85	250.08	5504	203
chr2	12700000-12750000	40.69	253.02	1547	202
chr2	12750000-12800000	42.30	248.25	8552	249
chr2	12800000-12850000	40.73	257.76	1747	186
chr2	12850000-12900000	41.95	240.57	5437	219
chr2	12900000-12950000	42.40	267.55	2393	215
chr2	12950000-13000000	40.70	255.45	1834	185
chr2	13000000-13050000	41.94	274.20	1201	207
chr2	13050000-13100000	40.13	263.39	1457	214
chr2	13100000-13150000	41.44	254.21	3722	203
chr2	13150000-13200000	40.83	238.77	2760	224
chr2	13200000-13250000	41.16	249.70	3668	204
chr2	13250000-13300000	41.54	255.83	1846	235
chr2	13300000-13350000	42.11	279.92	2942	231
chr2	13350000-13400000	41.36	264.27	2185	220
chr2	13400000-13450000	42.17	224.29	16003	170
chr2	13450000-13500000	43.26	291.14	3546	242
chr2	13500000-13550000	40.38	246.16	4713	197
